"","Country","Year","%of1Member","%of2-3Member","%of4-5Member","%of6+Member"
"1339","Nigeria",1999,11.3049176275349,24.4226507064008,27.7126876336022,36.5597440324622
"1340","Nigeria",2000,12.7901642283898,24.4641719413656,26.7426368555344,36.0030269747102
"1341","Nigeria",2001,12.9358617510036,24.5432899940543,26.8500377228565,35.6708105320857
"1342","Nigeria",2002,13.0815592736173,24.6224080467429,26.9574385901785,35.3385940894613
"1343","Nigeria",2003,11.669634671975,26.1378188098678,25.305207004931,36.8873395132261
"1344","Nigeria",2004,13.3729543188448,24.7806441521202,27.1722403248227,34.6741612042123
"1345","Nigeria",2005,13.5186518414586,24.8597622048089,27.2796411921447,34.3419447615878
"1346","Nigeria",2006,15.7437971435775,25.3204403634699,29.5785484139839,29.3572140789686
"1347","Nigeria",2007,15.1708005530744,24.7670649155108,28.4556182196493,31.6065163117655
"1348","Nigeria",2008,15.8240172384121,24.1339652227801,27.1150885337823,32.9269290050256
"1349","Nigeria",2009,16.2454125864941,25.23779153108,28.6224286674538,29.894367214972
"1350","Nigeria",2010,12.4033962926773,24.435031058553,28.6904836842364,34.4710889645334
"1351","Nigeria",2011,14.3928369771412,25.3344705209408,27.9240463960771,32.3486461058409
"1352","Nigeria",2012,14.538534499755,25.4135885736294,28.0314472633992,32.0164296632164
"1353","Nigeria",2013,15.7762065872862,26.1300122344058,25.8800734723106,32.2137077059974
"1354","Nigeria",2014,14.8299295449825,25.5718246790067,28.2462489980433,31.3519967779675
"1355","Nigeria",2015,11.5074729636627,25.5335932898389,27.8600589865385,35.09887475996
"1356","Norway",2001,37.7030284244892,41.0092946999003,19.5496108175788,1.73806605803172
"1357","Norway",2002,37.8908201538567,40.9809799040039,19.4077820276482,1.72041791449122
"1358","Norway",2003,38.0786118832241,40.9526651081075,19.2659532377176,1.70276977095073
"1359","Norway",2004,38.2664036125916,40.9243503122111,19.124124447787,1.68512162741023
"1360","Norway",2005,38.4541953419591,40.8960355163147,18.9822956578565,1.66747348386974
"1361","Norway",2006,38.6419870713266,40.8677207204182,18.8404668679259,1.64982534032925
"1362","Norway",2007,38.829778800694,40.8394059245218,18.6986380779953,1.63217719678876
"1363","Norway",2008,39.0175705300615,40.8110911286254,18.5568092880648,1.61452905324827
"1364","Norway",2009,39.205362259429,40.782776332729,18.4149804981342,1.59688090970777
"1365","Norway",2010,39.3931539887964,40.7544615368326,18.2731517082036,1.57923276616728
"1366","Norway",2011,39.5809457181639,40.7261467409362,18.1313229182731,1.56158462262679
"1367","Oman",2003,10.6239020763162,19.070767754148,18.3678003608151,51.9375298087206
"1368","Pakistan",1991,2.94739757808379,13.4477194840322,21.7359751993362,61.8689077385479
"1369","Pakistan",1992,3.04103582596264,14.0967942546011,21.1687878482727,61.6933820711636
"1370","Pakistan",1993,2.94214606453593,13.9964909899612,21.3252795261282,61.7360834193747
"1371","Pakistan",1994,2.84325630310923,13.8961877253213,21.4817712039837,61.7787847675857
"1372","Pakistan",1995,2.74436654168255,13.7958844606814,21.6382628818392,61.8214861157968
"1373","Pakistan",1996,2.64547678025585,13.6955811960416,21.7947545596947,61.8641874640079
"1374","Pakistan",1997,2.54658701882914,13.5952779314017,21.9512462375502,61.906888812219
"1375","Pakistan",1998,2.90941136665854,15.6751723830431,21.3710910554904,60.0443251948079
"1376","Pakistan",1999,2.34880749597576,13.3946714021219,22.2642295932612,61.9922915086412
"1377","Pakistan",2000,2.24991773454906,13.294368137482,22.4207212711167,62.0349928568522
