"","Country","Year","rural_population_percent"
"688","Estonia",2008,0.334789550049604
"689","Estonia",2009,0.336827080938927
"690","Estonia",2010,0.338710886235814
"691","Estonia",2011,0.340351744958493
"692","Estonia",2012,0.338443727868894
"693","Estonia",2013,0.337987301071437
"694","Estonia",2014,0.335883554655825
"695","Estonia",2015,0.334116905290196
"696","Fiji",2001,0.585092986406472
"697","Fiji",2002,0.578708440958644
"698","Fiji",2003,0.573030022381724
"699","Fiji",2004,0.56759457941898
"700","Fiji",2005,0.562332106665502
"701","Fiji",2006,0.557797928865756
"702","Fiji",2007,0.552872535755702
"703","Fiji",2008,0.546672964828921
"704","Fiji",2009,0.540209652625117
"705","Fiji",2011,0.528488032089612
"706","Fiji",2012,0.522234143101643
"707","Finland",1987,0.242741977256241
"708","Finland",1988,0.234855353320236
"709","Finland",1989,0.227286116647806
"710","Finland",1990,0.220070111854268
"711","Finland",1991,0.215094133213976
"712","Finland",1992,0.212235969362628
"713","Finland",1993,0.209358319055406
